state,district,college_name
Arunachal Pradesh,Papum Pare,Rajiv Gandhi University
Assam,Cachar,Assam University
Assam,,Tezpur University
Telangana,Hyderabad,University of Hyderabad
Telangana,Hyderabad,Maulana Azad National Urdu University
Telangana,Hyderabad,English & Foreign Languages University
Delhi,Delhi,Jamia Millia Islamia
Delhi,Delhi,University of Delhi
Delhi,Delhi,Jawaharlal Nehru University
Delhi,Delhi,Indira Gandhi National Open University
Madhya Pradesh,,The Indira Gandhi National Tribal University
Maharashtra,Mumbai City,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
Mizoram,,Mizoram University
Meghalaya,East Khasi Hills,North Eastern Hill University
Manipur,Imphal West,Manipur University
Manipur,Imphal West,Central Agricultural University
Puducherry,,Pondicherry University
Sikkim,East Sikkim,Sikkim University
Tripura,West Tripura,Tripura University
Uttar Pradesh,,Aligarh Muslim University
Uttar Pradesh,Lucknow,Babasaheb Bhimrao Ambedkar University
Uttar Pradesh,Varanasi,Banaras Hindu University
Uttar Pradesh,Prayagraj,University of Allahabad
West Bengal,,Visva Bharati
Uttarakhand,Srinagar,Hemwati Nandan Bahuguna Garhwal University
Tamil Nadu,,Central university of Tamil Nadu
Tamil Nadu,Chennai,Indian Maritime University
Rajasthan,,Central University of Rajasthan
Punjab,,Central University of Punjab
Odisha,,Central University of Orissa
Madhya Pradesh,,Dr. Harisingh Gour Vishwavidyalaya
Kerala,,Central University of Kerala
Karnataka,Kalaburagi,Central University of Karnataka
Jharkhand,Ranchi,Central University of Jharkhand
Jammu and Kashmir,Srinagar,Central University of Kashmir
Jammu and Kashmir,Jammu,Central University of Jammu
Himachal Pradesh,,Central University of Himachal Pradesh
Haryana,,Central University of Haryana
Chhattisgarh,,Guru Ghasidas Vishwavidyalaya
Bihar,Patna,Central University of South Bihar
Gujarat,,Central University of Gujarat
Andhra Pradesh,,Gandhi Institute of Technology and Management (GITAM)
Telangana,Hyderabad,International Institute of Information Technology
Andhra Pradesh,,Koneru Lakshmaiah Education Foundation
Andhra Pradesh,,Rashtriya Sanskrit Vidyapeeth
Andhra Pradesh,,Sri Sathya Sai Institute of Higher Learning
Andhra Pradesh,Hyderabad,ICFAI Foundation for Higher Education
Andhra Pradesh,,Vignan's Foundation for Science Technology and Research
Arunachal Pradesh,Papum Pare,North Eastern Regional Institute of Science & Technology
Bihar,,Nava Nalanda Mahavihara
Chandigarh,Chandigarh,Punjab Engineering College
Delhi,Delhi,Indian Agricultural Research Institute
Delhi,Delhi,Indain Institute of Foreigen Trade
Delhi,Delhi,Indian Law Institute
Delhi,Delhi,Institute of liver and Biliary Sciences
Delhi,Delhi,Jamia Hamdard
Delhi,Delhi,National Museum Institute of History of Arts Conservation and Musicology
Haryana,,National Institute of Food Technology Entrepreneurship & Management (NIFTEM)
Delhi,Delhi,National University of Educational Planning & Administration
Delhi,Delhi,Rashtriya Sanskrit Sansthana
Delhi,Delhi,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith
Delhi,Delhi,TERI School of Advanced studies
Gujarat,Ahmedabad,Gujarat Vidyapith
Gujarat,Vadodara,Sumandeep Vidyapeeth
Haryana,,Maharishi Markandeshwar (Deemed to be University)
Haryana,,Lingaya's Vidyapeeth
Haryana,,National Brain Research Centre
Haryana,,National Dairy Research Institute
Haryana,,Manav Rachna International Institute of Research and Studies
Jharkhand,Ranchi,Birla Institute of Technology
Karnataka,,B.L.D.E
Karnataka,Bengaluru Urban,Christ University
Karnataka,Bengaluru Urban,Indian Institute of Science
Karnataka,Bengaluru Urban,International Institute of Information Technology
Karnataka,Bengaluru Urban,Jain University
Karnataka,Mysuru,JSS Academy of Higher Education & Research
Karnataka,Bengaluru Urban,Jawahar lal Nehru Centre for Advanced Scientific Research
Karnataka,Belagavi,K.L.E. Academy of Higher Education and Research
Karnataka,,Manipal Academy of Higher Education
Karnataka,Bengaluru Urban,National Institute of Mental Health & Neuro Sciences
Karnataka,Dakshina Kannada,NITTE University
Karnataka,,Sri Devraj Urs Academy of Higher Education and Research
Karnataka,,Sri Siddhartha Academy of Higher Education
Karnataka,Bengaluru Urban,Swami Vivekananda Yoga Anusandhana Samsthana
Karnataka,Dakshina Kannada,Yenepoya University
Kerala,,Kerala Kalamandalam
Kerala,Thiruvananthapuram,Indian Institute of Space Science and Technology
Madhya Pradesh,,Indian Institute of Information Technology and Management
Madhya Pradesh,,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology
Madhya Pradesh,,Lakshmibai National Institute of Physical Education
Maharashtra,Pune,Bharati Vidyapeeth
Maharashtra,Mumbai City,Central Institute of Fisheries Education
Maharashtra,,D.Y Patil Educational Society
Maharashtra,,Datta Meghe Institute of Medical Sciences
Maharashtra,Pune,Deccan College Postgraduate & Research Institute
Maharashtra,Pune,Dr. D.Y. Patil Vidyapeeth
Maharashtra,Pune,Gokhale Institute of Politics & Economics
Maharashtra,Mumbai City,Homi Bhabha National Institute Regd. Office
Maharashtra,Mumbai City,Indira Gandhi Institute of Development Research
Maharashtra,Pune,Defence Institute of Advanced Technology
Maharashtra,Mumbai City,International Institute for Population Sciences
Maharashtra,Mumbai City,Institute of Chemical Technology
Maharashtra,,Krishna Institute of Medical Sciences
Maharashtra,,MGM Institute of Health Sciences
Maharashtra,Mumbai City,Narsee Monjee Institute of Management Studies
Maharashtra,Mumbai City,Padmashree Dr.D.Y. Patil Vidyapeeeth
Maharashtra,,Pravara Institute of Medical Sciences
Maharashtra,Pune,Symbiosis International University
Maharashtra,Mumbai City,Tata Institute of Fundamental Research
Maharashtra,Mumbai City,Tata Institute of Social Sciences
Maharashtra,Pune,Tilak Maharashtra Vidyapeeth
Odisha,,Kalinga Institute of Industrial Technology
Odisha,,Siksha 'O' Anusandhan
Punjab,,Sant Longowal Institute of Engineering and Technology
Punjab,,Thapar Institute of Engineering & Technology
Puducherry,,Sri Balaji Vidyapeeth (Deemed to be University)
Rajasthan,,Banasthai Vidyapith
Rajasthan,,Birla Institute of Technology & Science
Rajasthan,,Institute of Advanced Studies in Education
Rajasthan,Jaipur,IIS
Rajasthan,,Jain Vishva Bharati Institute
Rajasthan,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth
Rajasthan,Jaipur,The LNM Institute of Information Technology jaipur
Rajasthan,,Mody Institute of Education and Research
Tamil Nadu,Chennai,Academy of Maritime Education and Training
Tamil Nadu,Coimbatore,Amrita Vishwa Vidyapeetham
Tamil Nadu,Coimbatore,Avinashilingam Institute for Home Science & Higher Education for Women
Tamil Nadu,Chennai,B.S. Abdur Rahman Institute of Science and Technology
Tamil Nadu,Chennai,Bharath Institute of Higher Education & Research
Tamil Nadu,,Chennai Mathematical Institute
Tamil Nadu,Chennai,Chettinad Academy of Research and Education (CARE)
Tamil Nadu,,The Gandhiigram Rural Institute
Tamil Nadu,Chennai,Hindustan Institute of Technology and Science (HITS)
Tamil Nadu,,Kalasalingam Academy of Research and Education
Tamil Nadu,Coimbatore,Karunya Institute of Technology and Sciences
Tamil Nadu,Coimbatore,Karpagam Academy of Higher Education
Tamil Nadu,Chennai,Dr. M.G.R. Educational and Research Institute
Tamil Nadu,Chennai,Meenakshi Academy of Higher Education and Research
Tamil Nadu,,Noorul Islam Centre for Higher Education
Tamil Nadu,,Periyar Manaimmai Institute of Science & Technology (PMIST)
Tamil Nadu,,Ponnaiyan Ramajayam Institute of Science & technology (PMIST)
Tamil Nadu,,Rajiv Gandhi National Institute of Youth Development
Tamil Nadu,Chennai,S.R.M Institute of Science and Technology
Tamil Nadu,Chennai,Sathyabama Institute of Science and Technology
Tamil Nadu,Chennai,Saveetha Institute of Medical and Technical Sciences
Tamil Nadu,,Shanmugha Arts Science Technology & Research Academy (SASTRA)
Tamil Nadu,,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya
Tamil Nadu,Chennai,Sri Ramachandra Medical College and Research Institute
Tamil Nadu,Chennai,St. Peter’s Institute of Higher Education and Research
Tamil Nadu,Chennai,VELS Institute of Science Technology & Advanced Studies (VISTAS)
Tamil Nadu,,Vellore Institute of Technology
Tamil Nadu,Chennai,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology
Tamil Nadu,,Vinayaka Mission’s Research Foundation
Uttar Pradesh,Prayagraj,Sam Higginbottom Institute of Agriculture Technology & Sciences
Uttar Pradesh,Lucknow,Bhatkhande Music Institute
Uttar Pradesh,Varanasi,Central Institute of Higher Tibetan Studies
Uttar Pradesh,Agra,Dayalbagh Educational Institute
Uttar Pradesh,,Indian Veterinary Research Institute
Uttar Pradesh,,Jaypee Institute of Information Technology
Uttar Pradesh,Agra,Nehru Gram Bharati
Uttar Pradesh,Meerut,Shobhit Institute of Engineering & Technology
Uttar Pradesh,,Santosh University
Uttarakhand,Dehradun,Forest Research Institute
Uttarakhand,,Gurukul Kangri vidyapeeth
Uttarakhand,Dehradun,Graphic Era University
West Bengal,,Ramakrishna Mission Vivekananda Educational and Research Institute
Assam,Kamrup Metropolitan,Assam Don Bosco University
Chhattisgarh,Kota,Dr. C.V. Raman University
Chhattisgarh,Raipur,MATS University
Gujarat,,Charotar University of Science & Technology
Gujarat,Ahmedabad,Calorx Teacher's University
Gujarat,,Dhirubhai Ambani Institute of Information and Communication Technology
Gujarat,,Ganpat University
Gujarat,,Kadi Sarva Vishwavidyalaya
Gujarat,Ahmedabad,Nirma University
Gujarat,,Pandit Deendayal petroleum University
Haryana,,The Northcap University
Haryana,,O.P. Jindal Global University
Andhra Pradesh,,Acharaya N.G.Ranga Agricultural University
Andhra Pradesh,,Acharaya Nagarjuna University
Andhra Pradesh,,Adikavi Nannaya University
Tamil Nadu,,Alagappa University
West Bengal,Kolkata,Aliah University
Gujarat,,Anand Agricultural University
Andhra Pradesh,,Dr. N.T.R. University of Health Sciences
Andhra Pradesh,Patna,Andhra University
Tamil Nadu,Chennai,Anna University
Tamil Nadu,,Annamalai University
Assam,,Assam Agricultural University
Madhya Pradesh,,Awadesh Pratap Singh University
Punjab,,Baba Farid University of Health Sciences
Jammu and Kashmir,Jammu,Baba Ghulam Shah Badshah University
Bihar,,Babasaheb Bhimrao Ambedkar Bihar University
Karnataka,Bengaluru Urban,Bangalore University
Madhya Pradesh,Bhopal,Barkatullaah University
Chhattisgarh,,Bastar Vishwavidyalaya
Odisha,,Berhampur University
Haryana,,Bhagat Phool Singh Mahila Vishwavidyalaya
Tamil Nadu,Coimbatore,Bharathiar University
Tamil Nadu,,Bharathidasan University
Gujarat,,Krishnakumarsinhji Bhavnagar University
Bihar,,Bhupender Narayan Mandal University
West Bengal,,Bidhan Chandra Krishi Vishwavidyalaya
Odisha,,Biju Patnaik University of Technology
Jharkhand,Ranchi,Birsa Agricultural University
Uttar Pradesh,,Bundelkhand University
West Bengal,,Burdwan University
West Bengal,Kolkata,Calcutta University
Kerala,,Calicut University
Gujarat,Ahmedabad,CEPT University
Bihar,Patna,Chanakya National Law University
Uttar Pradesh,,Chandr Shekhar Azad University of Agriculture & Technology
Uttar Pradesh,,Chatrapati Sahuji Maharaj Kanpur University
Haryana,,Chaudhary Devi Lal University
Chhattisgarh,,Chhattisgarh Swami Vivekanad Technical Universty
Haryana,,Choudary Charan Singh Haryana Agricultural Univeersity
Uttar Pradesh,Meerut,Choudary Charan Singh University
Kerala,Ernakulam,Cochin Unviersity of Science & Technology
Karnataka,,Davangere University
Haryana,,Deen Bandhu Chhotu Ram University of Sciences & Technology
Uttar Pradesh,,Deen Dayal Upadhyay Gorakhpur University
Madhya Pradesh,,Devi Ahilya Vishwavidyalaya
Gujarat,,Dharmsinh Desai University
Assam,,Dibrugarh University
Uttarakhand,Dehradun,Doon University
Andhra Pradesh,,Dr. B.R.Ambedkar University
Telangana,Hyderabad,Dr. B.R.Ambedkar Open University
Uttar Pradesh,Agra,Dr. B.R. Ambedkar University
Maharashtra,,Dr. Babasaheb Ambedkar Marathwada University
Gujarat,Ahmedabad,Dr. Babasaheb Ambedkar Open University
Maharashtra,,Dr. Babasaheb AmbedkarTechnological University
Maharashtra,,Dr. Punjabrao Deshmukh Krishi Vidyapeeth
Uttar Pradesh,,Dr. Ram Manohar Lohia Awadh University
Uttar Pradesh,Lucknow,Dr. Ram Manohar Lohiya National Law University
Uttar Pradesh,Lucknow,Dr. Shakuntala Misra National Rehabilitation University
Himachal Pradesh,,Dr. Y.S.Parmar University of Horticulture & Forestry
Andhra Pradesh,,Dravidian University
Odisha,,Fakir Mohan University
Uttarakhand,,G.B.Pant University of Agriculture & Technology
Assam,Kamrup Metropolitan,Gauhati University
West Bengal,,Univesity of Gour Banga
Uttar Pradesh,,Gautam Buddha University
Goa,,Goa University
Gujarat,,Gujarat Ayurveda University
Gujarat,,Gujarat National Law University
Gujarat,Ahmedabad,Gujarat Technological University
Gujarat,Ahmedabad,Gujarat University
Karnataka,Kalaburagi,Gulbarga University
Punjab,,Guru Angad Dev Veterinary & Animal Sciences University
Haryana,,Guru Jambeshwar University of Science and Technology
Punjab,,Guru Nanak Dev University
Gujarat,,Hemchandracharya North Gujarat University
Chhattisgarh,Raipur,Hidayatullah National Law University
Himachal Pradesh,,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya
Himachal Pradesh,Shimla,Himachal Pradesh University
Chhattisgarh,Raipur,Indira Gandhi Krishi Vishwavidyalaya
Chhattisgarh,,Indira Kala Sangeet Vishwavidyalaya
Jammu and Kashmir,Jammu,Islamic University of Sciences & Technology University
West Bengal,Kolkata,Jadavpur University
Rajasthan,Jaipur,Jagadguru Ramanandacharya Sanskrit University
Rajasthan,Jodhpur,Jai Naraim Vyas University
Bihar,,Jai Prakash vishwavidyalaya(university)
Jammu and Kashmir,Jammu,Jammu University
Madhya Pradesh,,Jawaharlal Nehru Krishi Vishwavidyalaya
Andhra Pradesh,Hyderabad,Jawaharlal Nehru Technological University
Andhra Pradesh,,Jawaharlal Nehru Technological University
Andhra Pradesh,,Jawaharlal Nehru Technological University
Madhya Pradesh,,Jiwaji University
Telangana,,Kakatiya University
West Bengal,,Kalyani University
Bihar,,Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya
Karnataka,Dharwad,Karanataka State Law University
Karnataka,Mysuru,Karanataka State Open University
Karnataka,,Kannada University
Kerala,,Kannur University
Karnataka,,"Akkamahadevi women's University (Formerly known as ""Karnataka State Women's University)"
Karnataka,Dharwad,Karanataka University
Karnataka,,Karanataka Veterinary Animal & Fisheries Science University
Jammu and Kashmir,Srinagar,Kashmir University
Maharashtra,Nagpur,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
Kerala,Thiruvananthapuram,Kerala University
Kerala,,Kerala Agricultural Unviersity
Uttar Pradesh,Lucknow,King Georges Medical University
Jharkhand,,Kolhan University
Maharashtra,,Konkan Krishi Vidyapeeth
Gujarat,,Krantiguru Shyamji Krishna Verma Kachchh University
Assam,Kamrup Metropolitan,Krishna Kanta Handique State Open University
Andhra Pradesh,,Krishna University
Uttarakhand,,Kumaun University
Haryana,,Kurukshetra University
Chhattisgarh,Raipur,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya
Karnataka,,Kuvempu University
Bihar,,Lalit Narayan Mithila University
Uttar Pradesh,Lucknow,Lucknow University
Madhya Pradesh,,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya
Uttar Pradesh,,M.J.P. Rohilkhand University
Madhya Pradesh,Bhopal,M.P.Bhoj (open) University
Tamil Nadu,Chennai,Madaras University
Tamil Nadu,,Madurai Kamraj University
Bihar,,Magadh University
Madhya Pradesh,,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya
Maharashtra,,Maharahtra University of Health Sciences
Gujarat,Vadodara,Maharaja Sayajirao University of Baroda
Rajasthan,Udaipur,Maharana Pratap University of Agriculture & Technology
Maharashtra,Nagpur,Maharashtra Animal & Fishery Sciences University
Rajasthan,,Maharishi Dayanand Saraswati University
Haryana,,Maharishi Dayanand University
Uttar Pradesh,Varanasi,Mahatam Gandhi Kashi Vidyapeeth
Andhra Pradesh,,Mahatma Gandhi University
Kerala,,Mahatma Gandhi Unversity
Maharashtra,,Mahatma Phule Krishi Vidyapeeth
Madhya Pradesh,Bhopal,Makhanlal Chaturvedi National University of Journalism & Communication
Karnataka,Dakshina Kannada,Mangalore University
Tamil Nadu,,Manonmaniam Sundarnar University
Maharashtra,,Marathwada Agricultural University
Bihar,Patna,Maulana Mazharul Haque Arabic & Persian University
Rajasthan,Udaipur,Mohan Lal Shukhadia University
Tamil Nadu,,Mother Teresa Women's University
Maharashtra,Mumbai City,Mumbai University
Karnataka,Mysuru,Mysore University
Bihar,Patna,Nalanda Open University
Uttar Pradesh,,Narendra Deo University of Agriculture & Technology
Telangana,Hyderabad,National Academy of Legal Studies & Research University
Madhya Pradesh,Bhopal,National Law Institute University
Karnataka,Bengaluru Urban,National law School of India University
Rajasthan,Jodhpur,National Law Universituy
Kerala,Ernakulam,National University of Advanced Legal Studies (NUALS)
West Bengal,Kolkata,Netaji Shubhash Open University
Jharkhand,,Nilamber-Pitamber University
West Bengal,,North Benagal University
Maharashtra,,Kavayitri Bahinabai Chadhari North Maharashtra University
Odisha,Khordha,Orissa University Of Agriculture & Technology
Telangana,Hyderabad,Osmania University
Telangana,,Palamuru University
Tamil Nadu,,Periyar University
Telangana,Hyderabad,Potti Sreeramulu Teugu Universtity
Haryana,,Pt. Bhagwat Dayal Sharma University of Health Sciences
Chhattisgarh,,Pt. Sundarlal Sharma (Open) University
Chhattisgarh,Raipur,Pt.Ravishankar Shukla University
Maharashtra,Pune,Savitribai Phule Pune University
Punjab,,Punjab Agriculture University
Punjab,,Punjab Technical University
Punjab,,Punjabi University
West Bengal,Kolkata,Rabindra Bharati University
Rajasthan,,Swami Keshwanand Rajasthan Agriculture University
Rajasthan,Jodhpur,Rajasthan Ayurveda University
Rajasthan,Kota,Rajasthan Technical University
Rajasthan,Jaipur,Rajasthan University
Rajasthan,Jaipur,Rajasthan University of Health Sciences
Bihar,,Rajendra Agricultural University
Madhya Pradesh,Bhopal,Rajiv Gandhi Prodoyogiki Vishwavidyalaya
Karnataka,Bengaluru Urban,Rajiv Gandhi University of Health Science
Jharkhand,Ranchi,Ranchi University
Madhya Pradesh,,Rani Durgavati Vishwavidyalaya
Odisha,,Ravenshaw University
Andhra Pradesh,,Rayalaseema University
Odisha,,Sambalpur University
Uttar Pradesh,Varanasi,Sampurnanand Sanskrit Vishwavidyalaya
Maharashtra,,Sant Gadge Baba Amravati University
Gujarat,,Sardar Patel University
Uttar Pradesh,Meerut,Sardar Vallabh Bhai Patel University of Agriculture & Technology
Chhattisgarh,,Sarguja University
Andhra Pradesh,,Satavahana University
Gujarat,Rajkot,Saurashtra University
Jammu and Kashmir,Srinagar,Sher-e-Kashmir University of Agricultural Science & Technology
Maharashtra,,Shivaji University
Kerala,,Shree Sankaracharaya University of Sanskrit
Gujarat,,Shree Somnath Sanskrit University
Odisha,,Shri Jagannath Sanskrit Vishwavidyalaya
Jammu and Kashmir,Jammu,Shri Mata Vaishno Devi University
Andhra Pradesh,,Sri krishnadevaraya University
Jharkhand,,Sido Kanhu University
Maharashtra,Mumbai City,Smt. Nathibai Damodar Thackersey Women's University
Maharashtra,Pune,Solapur University
Gujarat,Surat,Veer Narmad South Gujarat University
Andhra Pradesh,,Sri Padmavati Mahila Vishwavidyalayam
Andhra Pradesh,,Sri Venkateswara University
Andhra Pradesh,,Sri Venkateswara Vedic University
Andhra Pradesh,,Sri Venkateswara Veterinary University
Maharashtra,,Swami Ramanand Teerth Marathwada University
Bihar,,T.M. Bhagalpur University
Tamil Nadu,Chennai,Tamil Nadu Open University
Tamil Nadu,Chennai,Tamil Nadu Teacher Education University
Tamil Nadu,,Tamil University
Tamil Nadu,Coimbatore,Tamilnadu Agricultural University
Tamil Nadu,Chennai,Tamilnadu Dr. Ambedkar Law University
Tamil Nadu,Chennai,Tamilnadu Dr. M.G.R.Medical University
Tamil Nadu,Chennai,Tamilnadu Physical Educaton and Sports University
Tamil Nadu,Chennai,Tamilnadu Veterinary & Animal Sciences University
Andhra Pradesh,,Telangana University
Punjab,,The Rajiv Gandhi National University of Law
Maharashtra,Nagpur,The Rashtrasant Tukadoji Maharaj Nagpur University
Tamil Nadu,,Thiruvalluvar University
Karnataka,,Tumkur University
Uttar Pradesh,Lucknow,U.P.King George's University of Dental Sciences
Uttar Pradesh,Prayagraj,U.P. Rajarshi Tandon Open University
Karnataka,Bengaluru Urban,University of Agricultural Sciences
Karnataka,Dharwad,University of Agricultural Sciences
Rajasthan,Kota,University of Kota
Odisha,Khordha,Utkal University
Odisha,Khordha,Utkal University of Culture
Uttar Pradesh,Lucknow,Dr. A.P.J. Abdul Kalam Technical University
Uttarakhand,Delhi,Uttarakhand Sanskrit University
Uttarakhand,,Uttarakhand Technical University
Rajasthan,Kota,Vardhman Mahaveer Open University
Uttar Pradesh,,Veer Bahadur Singh Purvanchal University
Bihar,,Veer Kunwar Singh University
Odisha,,Veer Surendra Sai University of Technology
Karnataka,Belagavi,Vesveswaraiah Technological University
Andhra Pradesh,,Vikrama Simhapuri University
Madhya Pradesh,,Vikram University
Jharkhand,,Vinoba Bhave University
Maharashtra,,Yashwant Rao Chavan Maharashtra Open University
Andhra Pradesh,,Yogi Vemana University
Chhattisgarh,,Maharishi University of Management and Technology
Gujarat,Ahmedabad,Ahmedabad University
Haryana,,AMITY University
Himachal Pradesh,,Chitkara University
Himachal Pradesh,,Jaypee University of Information Technology
Himachal Pradesh,,Eternal University
Himachal Pradesh,,Shoolini University of Biotechnology and Management Sciences
Himachal Pradesh,,Indus International Uniersity
Himachal Pradesh,,Arni University
Himachal Pradesh,,Manav Bharti University
Himachal Pradesh,,Bahra University
Jharkhand,Ranchi,The Institute of Chartered Financial Analysts of India University
Madhya Pradesh,,Jaypee University of Engineering & Technology
Meghalaya,East Khasi Hills,Martin Luther Christian University
Meghalaya,East Khasi Hills,Techno Global University
Meghalaya,,The Institute of Chartered Financial Analysts of India University
Meghalaya,,University of Science & Technology Meghalaya
Mizoram,,The Institute of Chartered Financial Analysts of India University
Nagaland,,The Global Open University
Nagaland,Kohima,ICFAI University
Punjab,Delhi,Lovely Professional University
Rajasthan,Jaipur,Amity University
Rajasthan,,Bhagwant University
Rajasthan,Jaipur,Jagannath University
Rajasthan,Jaipur,Jaipur National University
Rajasthan,Jodhpur,Jodhpur National University
Rajasthan,Jaipur,Jayoti Vidyapeet Women's University
Rajasthan,Jaipur,Mahatma Jyoti Rao Phoole University
Rajasthan,,Mewar University
Rajasthan,Delhi,NIMS University
Rajasthan,,Shri Jagdish Prasad Jhabarmal Tibrewala University
Rajasthan,,Sir Padmapat Singhania University
Rajasthan,,Singhania University
Rajasthan,Jaipur,Suresh Gyan Vihar University
Rajasthan,,Shridhar University
Sikkim,East Sikkim,The Institute of Chartered Financial Analysts of India University
Sikkim,East Sikkim,Sikkim Manipal University
Sikkim,East Sikkim,Vinayaka Missions Sikkim University
Tripura,West Tripura,ICFAI University
Uttar Pradesh,,AMITY University
Uttar Pradesh,,Jagadgura Rambhadracharya Handicapped University
Uttar Pradesh,Lucknow,Integral University
Uttar Pradesh,,Mangalayatan University
Uttar Pradesh,,Mohammad Ali Jauhar University
Uttar Pradesh,Delhi,Teerthanker Mahaveer University
Uttar Pradesh,,Sharda University
Uttar Pradesh,Delhi,Swami Vivekananda Subharti University
Uttarakhand,,Dev Sanakrit Vishwavidyalaya
Uttarakhand,Dehradun,Himgiri Zee University
Uttarakhand,Dehradun,The ICFAI University
Uttarakhand,Dehradun,University of Petroleum and Energy Studies
Uttarakhand,Delhi,University of Patanjali
Chandigarh,Chandigarh,Punjab University
